codigo_linha,LetreiroCompleto,DescricaoCompleto,Sentido,TipoLinhaDescricao,LinhaCircular,latitude,longitude,acessivel,periodo_do_dia,dia_semana,hr_atualizacao,data_ingestao
1745-10,1745-10,1745-10 - VL.NOVA CACHOEIRINHA,Volta,Radial,Nao,-23.473011999999997,-46.665725,Sim,Noite,Quarta,2025-12-03T23:29:29.000Z,2025-12-03T23:38:49.658Z
174M-10,174M-10,174M-10 - MUSEU DO IPIRANGA,Ida,Radial,Nao,-23.579950750000002,-46.60480425,Sim,Noite,Quarta,2025-12-03T23:29:53.000Z,2025-12-03T23:38:49.658Z
174M-10,174M-10,174M-10 - VL. SABRINA,Volta,Radial,Nao,-23.546346,-46.62254,Sim,Noite,Quarta,2025-12-03T23:29:50.000Z,2025-12-03T23:38:49.658Z
1756-10,1756-10,1756-10 - METRÔ SANTANA,Ida,Radial,Nao,-23.457787500000002,-46.6425785,Sim,Noite,Quarta,2025-12-03T23:29:43.000Z,2025-12-03T23:38:49.658Z
1756-10,1756-10,1756-10 - PEDRA BRANCA,Volta,Radial,Nao,-23.4572635,-46.6429485,Sim,Noite,Quarta,2025-12-03T23:29:53.000Z,2025-12-03T23:38:49.658Z
1757-10,1757-10,1757-10 - CONJ. DOS BANCÁRIOS,Volta,Radial,Sim,-23.471206000000002,-46.6367925,Sim,Noite,Quarta,2025-12-03T23:29:50.000Z,2025-12-03T23:38:49.658Z
1757-10,1757-10,1757-10 - METRÔ SANTANA,Ida,Radial,Sim,-23.4822545,-46.6326805,Sim,Noite,Quarta,2025-12-03T23:29:29.000Z,2025-12-03T23:38:49.658Z
1758-10,1758-10,1758-10 - JD. ANTÁRTICA,Volta,Radial,Nao,-23.4624485,-46.638046,Sim,Noite,Quarta,2025-12-03T23:29:50.000Z,2025-12-03T23:38:49.658Z
1758-10,1758-10,1758-10 - METRÔ SANTANA,Ida,Radial,Nao,-23.5032745,-46.626395,Sim,Noite,Quarta,2025-12-03T23:29:40.000Z,2025-12-03T23:38:49.658Z
1759-10,1759-10,1759-10 - JD. PERY,Volta,Radial,Nao,-23.497030000000002,-46.6274525,Sim,Noite,Quarta,2025-12-03T23:29:50.000Z,2025-12-03T23:38:49.658Z
1759-10,1759-10,1759-10 - METRÔ SANTANA,Ida,Radial,Nao,-23.503125,-46.6245765,Sim,Noite,Quarta,2025-12-03T23:29:49.000Z,2025-12-03T23:38:49.658Z
175P-10,175P-10,175P-10 - ANA ROSA,Ida,Radial,Nao,-23.57124375,-46.644467250000005,Sim,Noite,Quarta,2025-12-03T23:29:38.000Z,2025-12-03T23:38:49.658Z
175P-10,175P-10,175P-10 - METRÔ SANTANA,Volta,Radial,Nao,-23.535746,-46.666683500000005,Sim,Noite,Quarta,2025-12-03T23:29:54.000Z,2025-12-03T23:38:49.658Z
175T-10,175T-10,175T-10 - METRÔ JABAQUARA,Ida,Radial,Nao,-23.59452525,-46.650817,Sim,Noite,Quarta,2025-12-03T23:29:54.000Z,2025-12-03T23:38:49.658Z
175T-10,175T-10,175T-10 - METRÔ SANTANA,Volta,Radial,Nao,-23.59499075,-46.6503635,Sim,Noite,Quarta,2025-12-03T23:29:54.000Z,2025-12-03T23:38:49.658Z
1760-10,1760-10,1760-10 - COHAB ANTÁRTICA,Volta,Radial,Nao,-23.4571605,-46.6597545,Sim,Noite,Quarta,2025-12-03T23:29:41.000Z,2025-12-03T23:38:49.658Z
1760-10,1760-10,1760-10 - SHOP. CENTER NORTE,Ida,Radial,Nao,-23.456333,-46.659075,Sim,Noite,Quarta,2025-12-03T23:29:54.000Z,2025-12-03T23:38:49.658Z
1764-10,1764-10,1764-10 - JD. CORISCO,Volta,Radial,Nao,-23.458576,-46.6023755,Sim,Noite,Quarta,2025-12-03T23:29:44.000Z,2025-12-03T23:38:49.658Z
1764-10,1764-10,1764-10 - METRÔ SANTANA,Ida,Radial,Nao,-23.463694125000004,-46.603479750000005,Sim,Noite,Quarta,2025-12-03T23:29:49.000Z,2025-12-03T23:38:49.658Z
1771-10,1771-10,1771-10 - JD. FONTÁLIS,Volta,Radial,Nao,-23.430906,-46.574909,Sim,Noite,Quarta,2025-12-03T23:29:55.000Z,2025-12-03T23:38:49.658Z
1771-10,1771-10,1771-10 - METRÔ SANTANA,Ida,Radial,Nao,-23.478015875,-46.609590624999996,Sim,Noite,Quarta,2025-12-03T23:29:27.000Z,2025-12-03T23:38:49.658Z
1773-10,1773-10,1773-10 - CEM. PQ. DOS PINHEIROS,Volta,Radial,Nao,-23.449926499999997,-46.58897,Sim,Noite,Quarta,2025-12-03T23:29:54.000Z,2025-12-03T23:38:49.658Z
1773-10,1773-10,1773-10 - MANDAQUI,Ida,Radial,Nao,-23.45015225,-46.589508,Sim,Noite,Quarta,2025-12-03T23:29:47.000Z,2025-12-03T23:38:49.658Z
1775-10,1775-10,1775-10 - SHOP. CENTER NORTE,Ida,Radial,Nao,-23.447099,-46.609094,Sim,Noite,Quarta,2025-12-03T23:29:49.000Z,2025-12-03T23:38:49.658Z
1775-10,1775-10,1775-10 - VL. ALBERTINA,Volta,Radial,Nao,-23.460544499999997,-46.621515,Sim,Noite,Quarta,2025-12-03T23:29:52.000Z,2025-12-03T23:38:49.658Z
1778-10,1778-10,1778-10 - JD. CABUÇU,Volta,Radial,Sim,-23.487251999999998,-46.613992499999995,Sim,Noite,Quarta,2025-12-03T23:29:32.000Z,2025-12-03T23:38:49.658Z
1778-10,1778-10,1778-10 - METRÔ SANTANA,Ida,Radial,Sim,-23.456770499999998,-46.5874395,Sim,Noite,Quarta,2025-12-03T23:29:17.000Z,2025-12-03T23:38:49.658Z
177H-10,177H-10,177H-10 - CID. UNIVERSITÁRIA,Ida,Radial,Nao,-23.5595365,-46.68480475,Sim,Noite,Quarta,2025-12-03T23:29:44.000Z,2025-12-03T23:38:49.658Z
